SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE3D04YY500003BD;;0,386;23,327;ID_770ae2f6-f3fb-40e5-bb37-202ab13714d0;908142050;LOD2;1010;384786,9;5820334,5;273;38;129,3;40,00;134,9;7;7,03;1004;33;59;144;228;218;234;195;209;152;74;43;26;
DEBE3DNhwBRT8jwN;;0,421;20,837;ID_a378da94-d4f3-4c6e-9a88-cd4296103d35;146747395;LOD2;1010;385853,1;5820048,2;180;0;131,3;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_a27bb101-c031-4921-b10c-f1224fea7079;;0,380;13,636;ID_e39f967e-b769-4585-b26a-b4b0c0e73bb8;909770648;LOD2;3081;384110,3;5820722,2;265;17;95,9;40,00;136,7;5;5,09;1018;33;59;139;232;226;238;206;211;151;74;42;26;
DEBE3Dc18HLoBGXq;;1,249;15,120;ID_1cf063b3-5ae3-4662-94d0-31d018fa542a;1765397960;LOD2;2200;384617,0;5821524,8;169;39;49,5;40,00;133,1;2;1,98;991;28;53;150;243;214;211;192;203;161;73;46;20;
DEBE04YY500009TP_02;;0,960;16,230;ID_acdb562c-a1f6-457a-943f-0eb5e3ff610a;1405957715;LOD2;1010;384326,3;5821946,4;180;0;42,6;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhdQUDYSNvE;;0,361;7,656;ID_139efb2b-c1d9-45c9-a7f0-002574f83aac;1627164957;LOD2;2143;385081,5;5821072,2;180;0;134,0;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dg6lJgZwD9N;1905;0,313;21,152;ID_42384bac-fdfc-45c8-8762-db8bfd5d0c06;673831710;LOD2;1010;385401,4;5820743,3;2;10;221,6;30,00;138,7;9;9,30;1033;25;46;103;192;204;220;193;182;120;58;28;19;
DEBE3Dg6lJgZwD9N;1905;0,313;21,152;ID_921aa060-3f85-478e-b068-4cc145aade44;1484815212;LOD2;1010;385401,4;5820743,3;182;41;138,8;40,00;138,5;8;8,25;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3DURyKfpr2CC;1905;0,306;20,537;ID_905370f2-8480-441b-bde9-87ab025bce1c;457481451;LOD2;1010;384581,8;5820772,6;253;20;67,4;40,00;141,3;4;4,21;1052;36;62;148;241;229;241;207;217;159;78;46;28;
DEBE3D04YY50002bwM;;1,098;4,485;ID_9ccfb75f-a1e8-467a-b5e2-28ad6e4a429c;1900579642;LOD2;1610;385933,5;5820075,6;206;6;46,5;30,00;138,7;2;2,07;1033;30;54;130;226;222;230;204;203;145;69;38;23;
DEBE3DfGM6z7hppl;;0,261;22,315;ID_75f9dd04-11b5-491c-9e71-94b7a34c8d0d;1323679254;LOD2;3010;384265,3;5820142,6;355;5;386,6;30,00;138,7;17;17,56;1033;27;48;112;204;211;224;198;190;129;62;32;21;
DEBE3DtKDJiYaYSM;;0,481;8,485;ID_20f73e60-939f-42e5-8c65-b3582f655434;149278992;LOD2;3065;385956,7;5821232,5;180;0;138,2;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dh6N9HdP29x;1905;0,368;23,945;ID_38257707-f857-43b5-9608-4f65570a0084;2109210528;LOD2;1010;384599,7;5820742,2;198;5;86,4;30,00;138,7;3;3,10;1033;29;53;130;225;221;230;204;203;145;69;38;23;
DEBE01YYK0002MrR_01;;0,166;21,116;ID_d119d060-0dec-4c3e-b7ea-0cf2fe171e91;741057449;LOD2;2100;385913,9;5820982,4;180;0;657,7;30,00;138,7;29;29,96;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002bwX;;0,618;6,390;ID_3bce719f-b1b5-4d70-9c92-196a0f45437c;285635238;LOD2;1610;384601,4;5821477,8;180;0;94,3;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500004D7_03;2013;0,211;22,556;ID_34677a50-6620-412f-9581-ac73b09b465e;628472622;LOD2;2020;385623,0;5820453,2;180;0;228,2;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500004D7_07;2013;0,223;20,744;ID_c9d19011-481d-473b-ad36-4d5fa4db1088;1357146017;LOD2;2020;385621,0;5820485,2;180;0;243,9;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000M2U;;0,443;16,595;ID_464b38c8-1044-46f5-863b-5aeb45c0c1e5;141689802;LOD2;1010;385964,2;5820016,9;292;35;97,8;40,00;126,4;5;4,71;941;28;53;128;210;210;230;192;199;138;67;36;22;
DEBE04YY500004D7_02;2013;0,235;20,776;ID_887816e6-50c8-44e4-b80a-d235584ee72a;929099618;LOD2;2020;385619,3;5820517,5;180;0;248,2;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002Nji;;0,374;19,992;ID_ea60f7eb-59f2-4293-88ae-e87273e5e20d;377426670;LOD2;1010;385898,1;5821221,0;197;10;142,4;30,00;138,7;6;6,20;1033;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE3D04YY50002cfN;1905;0,619;5,237;ID_b484b355-f1bf-47c7-b641-e97d9d21d082;2030102615;LOD2;1610;384682,1;5821381,7;180;0;767,6;30,00;138,7;34;35,12;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DkyGn2gFr9Y;;0,146;27,482;ID_90857f8f-3048-450e-9e1c-1befd292c522;399519575;LOD2;2010;385695,9;5820510,4;180;0;540,1;30,00;138,7;24;24,79;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_94d976d2-63fd-41f6-ac63-f3c49a3b592c;;0,591;11,968;ID_712ee4d1-5237-4d0f-95aa-19c136ee5115;580117013;LOD2;2142;385074,3;5821050,1;180;0;42,1;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000CmK;;0,994;3,093;ID_61c58391-f3b5-425d-a650-3529f42eac4f;2050540563;LOD2;2463;384586,9;5820080,0;180;0;285,0;30,00;138,7;12;12,40;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DtMLFaHRAxY;;0,448;21,170;ID_ee2ec3e4-ea02-45c4-b44f-465afad67b30;1658101385;LOD2;1010;385750,2;5821277,4;180;0;91,4;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DTDYD8geu36;;0,316;21,093;ID_3f2ef798-18aa-4f44-a6d3-407b30f36b97;595320184;LOD2;1010;384485,9;5820030,5;265;2;295,0;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D01YYK0002OL5;;0,225;12,669;ID_9af1ae63-cfb6-4372-9722-6b01e00ba368;877748071;LOD2;2100;385995,2;5820962,1;180;0;8778,5;30,00;138,7;395;408,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000DNe;;1,230;3,018;ID_4807453a-ea16-44e8-a284-118d445aefe2;892049789;LOD2;3010;385163,1;5821782,5;180;0;59,4;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DvzPGvvlMJT;;0,596;22,040;ID_f1e744fa-69d0-467a-a34b-76b8aa16398c;1098515831;LOD2;1010;385183,5;5820067,5;9;4;41,5;30,00;138,7;1;1,03;1033;26;47;111;202;209;223;197;188;127;61;31;21;
DEBE3DSZa8Lla9ui;;0,662;23,578;ID_bc9ceb77-1ebd-496e-90a7-a300fd0bcebe;1269126263;LOD2;1010;384468,1;5821981,5;180;0;44,2;30,00;138,7;1;1,03;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000Qxi_01;;0,302;24,368;ID_64dd9207-553f-4efc-9e03-26f02f28baec;1197195148;LOD2;1010;384688,7;5820024,3;284;30;111,9;40,00;130,6;6;5,84;973;30;56;133;218;216;235;197;204;144;70;38;23;
DEBE04YY50000Qxi_01;;0,302;24,368;ID_6a7e0c97-cbb8-4040-a955-fecfa0fdb7d8;229853694;LOD2;1010;384688,7;5820024,3;189;49;52,2;40,00;139,5;3;3,12;1039;35;64;170;253;209;205;184;207;176;85;57;26;
DEBE3DWDeGRHl26C;1905;0,423;22,499;ID_0245c8fc-6896-4b40-a24e-9be7286057c2;1965940192;LOD2;1010;384837,2;5820705,7;180;0;96,5;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DA9Gx5GA4a2;1905;0,273;21,421;ID_dd319aae-f2d5-4c43-ac22-9ff3f726876b;1775330071;LOD2;1010;385381,0;5820744,6;182;40;59,5;40,00;138,5;3;3,09;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3DA9Gx5GA4a2;1905;0,273;21,421;ID_4dd48eb5-1d03-4e20-87c9-4626dadb6d57;86228807;LOD2;1010;385381,0;5820744,6;2;1;104,4;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrV8qMdFTZv;1900;0,574;21,148;ID_3bd51cc5-8cfa-4605-8954-1d52dc017112;1103234549;LOD2;1010;385181,9;5820822,8;270;15;78,5;40,00;135,6;4;4,04;1009;33;58;136;229;225;238;205;209;150;73;41;26;
DEBE3DSNpkp9BVqh;;0,666;9,742;ID_dc09b5ad-d8e8-45d2-aaf3-9830103f46e1;185400452;LOD2;2143;385756,6;5821917,0;180;0;56,0;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DsrxQYQ3Kjj;1925;0,273;21,233;ID_ffe0d306-7542-4cd0-adfe-407d09f06508;880613114;LOD2;1010;385396,6;5820670,0;182;44;598,6;40,00;136,8;35;35,64;1018;31;59;160;249;212;209;189;206;169;79;52;23;
DEBE3D04YY500003Mh;;0,305;21,307;ID_956f19c3-bd89-425b-a495-da4507a70260;2081435006;LOD2;1010;384826,0;5820282,4;180;0;645,6;30,00;138,7;29;29,96;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500003Mn;1905;0,415;19,638;ID_7425a688-3fb2-4df9-8612-a485bfa6cac6;718915367;LOD2;1010;384645,2;5820502,5;180;0;202,5;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500003Hl_02;1900;0,383;8,544;ID_89cb657f-c415-4a4b-8079-c92fd7812c11;1718167621;LOD2;1010;385205,1;5820791,7;180;0;113,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500003Hl_01;1900;0,582;6,180;ID_ea16d879-60ee-49c6-8597-d9a9f1739b31;1048702444;LOD2;1010;385201,8;5820799,0;1;4;132,8;30,00;138,7;5;5,16;1033;27;48;112;203;210;224;198;189;128;62;31;21;
DEBE3DN4JoQnYMUK;;0,300;31,205;ID_5968a929-d54a-4dd1-8698-87daf9283cfe;108224219;LOD2;1010;385301,0;5820221,5;180;0;109,5;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dz7K8owco32;;0,400;21,453;ID_17c0a894-ebe4-4726-b6c1-920295516abf;133068019;LOD2;1010;385022,7;5820100,9;175;16;43,5;40,00;134,6;2;2,00;1002;29;54;139;237;224;229;204;207;153;72;41;22;
UUID_58c5545f-2e29-4d99-ac34-0cd1cc8bd900;2013;0,771;46,992;ID_96880dc7-f76c-440a-9272-7e7b4bcccb97;736713431;LOD2;2520;385309,6;5820379,4;180;0;253,2;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DsZna24N45g;;0,214;21,464;ID_43a478ec-13aa-42ee-85cd-362c169c0c0e;132259404;LOD2;3036;384101,6;5820312,2;175;32;173,5;40,00;137,4;10;10,23;1023;30;56;151;247;222;223;200;210;163;75;46;22;
DEBE3DuEyXxgNxQp;1955;0,360;17,013;ID_63cea50f-d5e0-43f6-a02a-b4576fb20260;693998318;LOD2;1010;384771,5;5820908,9;17;2;261,7;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500003Hl_06;1900;0,338;11,915;ID_ba3378b2-1f0e-4d28-bda3-e1e0696ca6c8;1016348400;LOD2;1010;385176,1;5820790,3;180;0;62,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DB8BsYwKl0P;;1,373;21,423;ID_ec80a2f4-ad5a-4a5e-b5e1-764e55f60da7;1914499539;LOD2;1010;385720,2;5820068,5;302;4;139,8;30,00;138,7;6;6,20;1033;29;52;122;215;217;230;202;198;138;67;35;23;
DEBE3DB8BsYwKl0P;;1,373;21,423;ID_f162d916-bc73-4cb5-a74f-7fef0175ff1a;1206041253;LOD2;1010;385720,2;5820068,5;302;17;53,0;40,00;127,1;3;2,84;946;28;52;122;212;216;233;201;199;136;66;34;22;
DEBE3D04YY500003Jg;;0,999;3,300;ID_89bcb862-bf66-4c22-aef3-d99bb0acb669;162872672;LOD2;3010;385806,9;5820171,6;180;0;101,3;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY500004D7_011;2013;0,284;20,702;ID_d7e5d477-3528-4d1c-82c0-dc82a197f046;414355100;LOD2;2020;385618,6;5820542,9;180;0;93,3;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DYjGyBaAL0T;;0,562;14,901;ID_a68a7404-2037-4c04-88a0-bd903f6608be;72154597;LOD2;1010;384292,6;5820049,8;265;5;51,3;30,00;138,7;2;2,07;1033;30;54;128;222;221;232;204;202;143;69;38;24;
DEBE3DoeaCkVpYfO;;0,536;21,560;ID_c4a0a87a-3baa-4f7b-b1fb-47c9334dce92;336042806;LOD2;1010;384169,6;5820093,0;84;10;45,6;30,00;138,7;2;2,07;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3D04YY500002jO;1900;0,588;5,160;ID_98360143-23a2-4a0d-bdcb-4222a1c39301;1188244293;LOD2;9998;385324,1;5820921,3;180;0;435,2;30,00;138,7;19;19,63;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DPei06xzs8s;1900;0,547;4,791;ID_bf0659bf-1ed0-43a7-8f00-d34f821de649;2074792042;LOD2;2120;385277,5;5820915,9;0;3;617,7;30,00;138,7;27;27,89;1033;27;48;112;203;210;224;198;189;128;62;31;21;
DEBE3DU6RJhXjBTC;;0,239;22,532;ID_3b063199-f7f1-4cc7-a7b4-d2fc22f7fe21;1423154017;LOD2;3021;385807,8;5820740,1;0;5;95,0;30,00;138,7;4;4,13;1033;27;48;112;203;210;224;198;189;128;62;31;21;
DEBE3DqdvUpufEAZ;1905;0,332;21,568;ID_2711de60-83ac-45e3-adfa-47ae9759639f;1654095767;LOD2;1010;385408,5;5820788,3;180;0;115,1;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500002k7;;0,268;21,592;ID_ec330957-121d-4156-9fa3-2bfddc411b73;100738470;LOD2;1010;385612,8;5820036,7;282;56;104,3;40,00;126,3;6;5,64;940;30;55;136;213;206;218;184;197;142;69;39;23;
DEBE3D04YY500002k7;;0,268;21,592;ID_5ee71e1e-2ced-478a-a606-b9a8170edc89;1435913932;LOD2;1010;385612,8;5820036,7;180;0;460,3;30,00;138,7;20;20,66;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500002k5;;0,307;18,618;ID_90e66431-b460-43de-907d-8710797155e8;682668355;LOD2;1010;385712,7;5820151,5;181;15;230,9;40,00;135,7;13;13,14;1011;30;55;141;238;225;230;205;208;155;73;42;23;
UUID_27abeeb7-da7e-4a06-8026-fa5855273fda;;0,403;16,966;ID_b80d6013-6062-4f9a-abae-60d2ecda4c29;2109891713;LOD2;1120;384154,5;5820120,8;83;3;204,0;30,00;138,7;9;9,30;1033;25;46;112;205;209;220;197;188;129;61;31;19;
DEBE3DpqN6lm4qbI;;0,777;4,344;ID_9f6517c1-c4b4-407f-aad5-b5405aa0f8e2;601207598;LOD2;2030;384891,6;5820875,9;180;0;107,3;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrklmzDQC2F;;0,368;11,339;ID_cda8be89-fa75-4af0-a910-648189f7ea9c;1226958945;LOD2;2020;385992,0;5820361,0;180;0;84,6;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DtMkuzolELI;;0,275;22,224;ID_1fee6a33-3eaf-42e0-82e4-f5d53bc377d2;2067000582;LOD2;1010;385566,2;5820798,9;273;11;202,0;40,00;132,6;12;11,85;988;31;56;131;224;222;235;205;205;145;71;39;24;
UUID_78a9b219-7722-4bf9-a5b6-8bb4ca3d1c27;1905;0,342;14,461;ID_12f90e1f-2c0f-41d4-a4d7-d29006492e9e;939694127;LOD2;1010;384582,8;5820704,4;233;3;229,4;30,00;138,7;10;10,33;1033;30;54;130;225;222;232;205;204;145;70;39;24;
DEBE3Df01YM4tQvM;;0,319;20,647;ID_2be707af-d5ae-4c8f-94b8-28ae01faae77;2064106565;LOD2;1010;385777,9;5820071,9;122;2;126,2;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dv9fBBpuPxM;1900;0,576;20,459;ID_c4c50da7-0a9a-46f2-95fe-a951891f8889;119903394;LOD2;1010;385387,1;5820902,8;181;4;58,4;30,00;138,7;2;2,07;1033;29;52;128;223;220;228;203;201;143;68;37;22;
DEBE3DaMTeR5KCcT;;0,495;19,911;ID_b6d092fb-c1e1-4d33-b465-7b76a268b1bc;2074788339;LOD2;1010;385767,4;5821182,1;120;10;42,5;30,00;138,7;1;1,03;1033;24;45;116;210;211;219;197;189;132;61;31;18;
DEBE3DOkzrTWNG6u;;0,536;24,088;ID_dd10c1bb-7ae5-4998-866f-ed5658f4bfff;665586503;LOD2;1010;384794,8;5820170,9;180;0;53,6;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50002cbB;;0,778;4,333;ID_5c6267a2-eba8-4aac-b0d4-a8ccc8905175;765236124;LOD2;1610;385510,7;5820808,3;183;6;154,2;30,00;138,7;6;6,20;1033;29;52;128;224;220;229;204;201;144;68;37;22;
UUID_512ed617-53d2-4424-b013-38372bd19a6e;1900;1,129;12,489;ID_f4bd3d90-b1c7-4e9a-afd4-a9c7a6323fa2;1002713402;LOD2;1130;385364,2;5820953,0;180;0;115,1;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dmo4vE8LcAy;;0,290;22,103;ID_46b49454-6e10-4ea9-97f9-1ee08cfe6319;1726085696;LOD2;1010;385878,9;5821254,6;265;37;136,8;40,00;140,8;8;8,39;1048;36;63;152;239;226;239;201;217;160;78;47;28;
DEBE3DK7jAxHefwY;;0,208;23,867;ID_c7375f3b-105f-42bd-bab5-882b578feb83;1086691584;LOD2;1010;384661,2;5821929,8;180;0;356,9;30,00;138,7;16;16,53;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DvBD2Un7MUD;;0,307;16,801;ID_6c1c065f-9b45-435d-808d-28688f8cc36f;2041519662;LOD2;1010;385112,6;5820036,7;266;19;41,5;40,00;138,6;2;2,06;1032;34;60;143;235;227;240;206;214;154;76;44;27;
DEBE3D04YY50002cc9;;1,287;4,715;ID_49015257-ebac-475c-9c75-a53cb50050e2;1847144896;LOD2;1610;385264,1;5821407,7;180;0;75,7;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DJTHxfGKZQI;2013;0,221;17,057;ID_c56e8f01-e9f4-4d3f-8d30-977e24d554fa;464956274;LOD2;2522;385271,3;5820537,1;182;10;278,3;30,00;138,7;12;12,40;1033;29;54;135;232;223;229;205;205;149;71;40;23;
DEBE3DJTHxfGKZQI;2013;0,221;17,057;ID_a604ab79-a795-42ba-8336-b91b415de043;1213126715;LOD2;2522;385271,3;5820537,1;2;10;294,5;30,00;138,7;13;13,43;1033;25;46;103;192;204;220;193;182;120;58;28;19;
DEBE04YY50000MDO_01;;5,922;19,369;ID_039d675b-519d-4ac3-a8ba-1a0554e13de3;1288513339;LOD2;1010;385676,9;5820090,2;194;41;46,7;40,00;144,6;2;2,15;1077;36;66;171;260;221;219;195;216;178;86;57;27;
DEBE3D04YY500002hN;;0,960;3,892;ID_7bbce68d-c81c-4f76-91af-0a1a137c8fb4;1521691995;LOD2;2523;385528,6;5821508,9;180;0;84,1;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DOjSzS44toa;;0,424;17,095;ID_61b79421-c18b-41fa-ab81-034fcf6a0f44;1403409985;LOD2;1010;384831,5;5821905,5;180;0;93,3;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DbvhMkehWpZ;;0,439;19,951;ID_443ab2c2-6c03-48b5-8658-be6fe3dcf2df;1808754007;LOD2;1010;385867,0;5821452,6;180;0;70,5;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500002i4;;0,685;6,424;ID_2b5dbee1-b3cf-428b-a441-946de1113dc0;1864336394;LOD2;1010;384459,1;5821740,2;249;52;67,0;40,00;145,4;4;4,33;1082;41;69;167;251;223;231;194;220;171;85;56;33;
DEBE3DqUuCRVyZtZ;;0,275;18,526;ID_e991ac76-87da-47da-871a-eeefc828377e;1244783960;LOD2;1010;385008,1;5820025,1;180;0;82,0;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrJX5MjWHs5;;0,432;16,107;ID_c55fc9a2-e928-48f8-a33e-2732a6234661;1841542709;LOD2;1010;384365,7;5821931,2;180;0;93,0;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DxjpIni8TDQ;;0,744;21,252;ID_92c0fb72-9c1e-4ef4-b4b5-66be7e4584ee;938497486;LOD2;1010;384675,4;5820333,4;212;47;112,7;40,00;149,1;6;6,66;1110;41;73;179;265;223;220;194;221;184;92;62;32;
DEBE3DT6a5GV8ETL;1955;0,429;22,853;ID_ddc8a8f3-2120-44b0-9334-ede6a60f9310;891457496;LOD2;1010;384752,2;5820915,6;195;52;94,7;40,00;141,7;5;5,28;1055;37;67;174;256;210;206;184;210;179;88;59;28;
DEBE3DAqpr7DM1bF;;0,315;20,976;ID_94b45fba-07ae-402e-b726-355b97071f10;2138879034;LOD2;1010;385834,1;5820044,0;180;0;225,4;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DapdUHUhb0d;;0,264;19,929;ID_58fc3630-816c-440f-9813-126e016ff0e7;1054375937;LOD2;1010;384519,2;5820033,4;265;10;227,0;30,00;138,7;10;10,33;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3DkGsW0zceKh;;0,111;27,389;ID_97b084e5-5640-4517-a4b1-bdc657de3581;1127568373;LOD2;1010;384979,1;5820263,5;180;0;69,6;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_00412e29-d0ec-4336-a872-e2e114313a7d;;0,339;16,564;ID_3cc7004f-c241-4428-8b05-ca38bdf780d0;1212073143;LOD2;1010;384913,5;5820879,6;180;0;394,5;30,00;138,7;17;17,56;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_476eae22-5736-4df7-90c6-e6e22e9cea8d;;0,265;17,918;ID_fd8f29b9-c4e6-484e-ba35-2583ff97e829;1335882214;LOD2;3041;384604,7;5821163,8;180;0;787,4;30,00;138,7;35;36,15;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000M9T;1955;0,850;3,851;ID_d03775d9-ffcf-4ae9-889c-a28ba647a329;159657951;LOD2;3021;384850,3;5821054,1;180;0;217,3;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DeWK5ihzdyJ;;0,339;16,315;ID_e6743dff-b45c-4125-aab6-af5e86c1e09a;536407166;LOD2;1010;384211,8;5820056,6;180;0;131,9;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_9683da29-343a-409e-b600-7dcd4dc943d4;;0,242;25,046;ID_e8901fbf-ed6c-4541-80b7-ccb961501e5b;584579053;LOD2;1120;384744,5;5820083,0;180;0;675,1;30,00;138,7;30;30,99;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DATZQvCLgzt;;0,384;25,150;ID_f976c3c4-3a3c-467f-89ee-223d7d1a202e;872569069;LOD2;1120;384564,1;5820145,2;175;36;231,7;40,00;136,9;13;13,25;1019;30;56;153;247;219;218;197;209;164;76;48;22;
UUID_d45e571f-9329-42b3-baa9-ad925b5c44e0;1900;0,614;8,124;ID_e255aa01-e781-484e-bdb3-aeaee3205164;2104399116;LOD2;2120;385377,7;5820914,2;273;10;53,0;30,00;138,7;2;2,07;1033;31;56;131;224;222;235;205;205;145;71;39;24;
UUID_d45e571f-9329-42b3-baa9-ad925b5c44e0;1900;0,614;8,124;ID_72868ef1-831a-477b-bc9f-8bf2ee6d8f03;1385223958;LOD2;2120;385377,7;5820914,2;93;10;46,1;30,00;138,7;2;2,07;1033;23;43;108;200;205;215;194;183;125;58;29;17;
DEBE3Du5oYu1GOGy;;0,275;23,116;ID_d3c71dc1-3ff8-40e1-b052-8060f6615c0c;208678791;LOD2;1010;385555,6;5820735,8;180;0;45,1;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
